Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015",latitude,longitude,Lat From Bos,Lon From Bos,Distance From Bos Sum,prescriptions_dispensed_by_us_retailers_in_that_year_millions,Distance from Water,Boston Lat,Boston Lon,Max ,Mion lat,Glou,,,
Needham,6,4.2,1,0.7,2,1.4,42.279797,-71.25006,0.080203,0.59006,0.670263,142,0.55606,,,,,,,,
New Bedford,108,23,113,23.9,153,32.2,41.633416,-70.951045,0.726584,0.291045,1.017629,149,0.257045,,,,,,,,
New Braintree,1,20.8,0,0,1,20,42.320938,-72.128644,0.039062,1.468644,1.507706,155,1.434644,,,,,,,,
New Salem,0,0,0,0,1,20.2,42.518718,-72.534371,0.158718,1.874371,2.033089,163,1.840371,,,,,,,,
Newbury,2,5.9,3,8.7,4,12,42.777524,-70.867246,0.417524,0.207246,0.62477,174,0.173246,,,,,,,,
Newburyport,7,8.1,3,3.4,12,13.8,42.80965,-70.873196,0.44965,0.213196,0.662846,184,0.179196,,,,,,,,
Newton,12,2.9,18,4.3,24,5.6,42.385096,-71.208399,0.025096,0.548399,0.573495,196,0.514399,,,,,,,,
Norfolk,0,0,2,3.8,3,5.3,42.117511,-71.331793,0.242489,0.671793,0.914282,202,0.637793,,,,,,,,
North Adams,7,9.6,9,12.9,16,23.3,42.426974,-73.18632,0.066974,2.52632,2.593294,210,2.49232,,,,,,,,
North Andover,5,3.7,7,5.1,11,7.8,42.672835,-71.087689,0.312835,0.427689,0.740524,219,0.393689,,,,,,,,
North Brookfield,0,0,2,8.4,3,12.8,42.275382,-72.089338,0.084618,1.429338,1.513956,217,1.395338,,,,,,,,
North Reading,2,2.9,4,5.7,4,5.4,42.581332,-71.083725,0.221332,0.423725,0.645057,207,0.389725,,,,,,,,
Northampton,7,4.8,16,11.1,26,18.2,42.415154,-72.76927,0.055154,2.10927,2.164424,196,2.07527,,,,,,,,
Northborough,1,1.4,4,5.5,2,2.8,42.322118,-71.64282,0.037882,0.98282,1.020702,116,0.94882,,,,,,,,
Northbridge,10,14.9,7,9.7,13,16.6,42.207191,-71.856807,0.152809,1.196807,1.349616,126,1.162807,,,,,,,,
Northfield,0,0,0,0,2,13.2,42.522178,-72.624164,0.162178,1.964164,2.126342,138,1.930164,,,,,,,,
Norton,8,8.8,9,9.4,15,15.8,41.959149,-71.180393,0.400851,0.520393,0.921244,142,0.486393,,,,,,,,
Norwell,2,4,4,7.7,8,15.2,42.154145,-70.823035,0.205855,0.163035,0.36889,149,0.129035,,,,,,,,
Norwood,13,9.1,15,10.5,16,11.2,42.182798,-71.196277,0.177202,0.536277,0.713479,155,0.502277,,,,,,,,
Oak Bluffs,1,5.4,1,5.1,4,17.7,41.417376,-70.560032,0.942624,0.099968,1.042592,163,0,,,,,,,,
Oakham,0,0,2,21.1,0,0,42.346144,-72.058847,0.013856,1.398847,1.412703,174,1.364847,,,,,,,,
Orange,2,5.3,4,10.4,10,25.5,42.578325,-72.556589,0.218325,1.896589,2.114914,,1.862589,,,,,,,,
Orleans,3,9.4,2,6.3,2,6.8,41.852933,-70.01539,0.507067,0.64461,1.151677,,0,,,,,,,,
Otis,0,0,0,0,0,0,42.213156,-73.090434,0.146844,2.430434,2.577278,,2.396434,,,,,,,,
Oxford,7,10.4,4,5.8,17,24.8,42.109223,-71.855444,0.250777,1.195444,1.446221,,1.161444,,,,,,,,
Palmer,5,8,10,15.7,8,13.2,42.176131,-72.31457,0.183869,1.65457,1.838439,,1.62057,,,,,,,,
